Date,Time,State,PuFrom,Address,Street,Airport,Location in Airport
2014.07.06,14:30,NY                                                                                                                           ,MANHATTAN,50,MURRAY ST           ,,
2014.07.04,07:15,NY                                                                                                                           ,MANHATTAN,143,AVENUE B            ,,
2014.07.05,05:45,NY                                                                                                                           ,MANHATTAN,125,CHRISTOPHER ST      ,,
2014.07.06,04:30,NY                                                                                                                           ,MANHATTAN,217,E 7 ST              ,,
2014.07.05,07:45,NY                                                                                                                           ,MANHATTAN,521,W 26 ST             ,,
2014.07.06,08:45,NY                                                                                                                           ,MANHATTAN,110,BLEECKER ST         ,,
2014.07.06,06:45,NY                                                                                                                           ,MANHATTAN,220,E 57 St             ,,
2014.07.06,11:30,NY                                                                                                                           ,MANHATTAN,440,E 20 ST             ,,
2014.07.03,12:00,NY                                                                                                                           ,QUEENS,2204,119 ST              ,,
2014.07.03,13:00,NY                                                                                                                           ,MANHATTAN,286,E 10 ST             ,,
2014.07.09,15:42,NJ,EWR,      ,                    ,EWR,OUTSIDE DOOR #8
2014.07.03,05:30,NY                                                                                                                           ,MANHATTAN,85,WEST ST             ,,
2014.07.04,09:45,NY                                                                                                                           ,MANHATTAN,99,BATTERY PL          ,,
2014.07.09,04:15,NY                                                                                                                           ,MANHATTAN,613,6 AVE               ,,
2014.07.15,05:45,NY                                                                                                                           ,MANHATTAN,27,BETHUNE ST          ,,
2014.07.11,04:15,NY                                                                                                                           ,MANHATTAN,117,SULLIVAN ST         ,,
2014.07.04,06:15,NY                                                                                                                           ,MANHATTAN,411,E 57 St             ,,
2014.07.12,04:00,NY                                                                                                                           ,MANHATTAN,200,2 AVE               ,,
2014.07.10,08:00,NY                                                                                                                           ,QUEENS,27110,GRAND CENTRAL PKWY  ,,
2014.07.16,06:00,NY                                                                                                                           ,MANHATTAN,9,STUYVESANT OVAL     ,,
2014.07.07,09:00,NY                                                                                                                           ,MANHATTAN,102,1 AVE               ,,
2014.07.07,06:50,NY                                                                                                                           ,JFK,      ,                    ,JFK,BLUE DOMESTIC PICK UP AREA 3
2014.07.10,06:00,NY                                                                                                                           ,MANHATTAN,218,AVENUE A            ,,
2014.07.12,06:35,NJ,EWR,      ,                    ,EWR,UNITED PICK-UP AREA 3
2014.07.09,08:02,NJ,EWR,      ,                    ,EWR,UNITED TERM C AREA 3
2014.07.13,07:00,NY                                                                                                                           ,MANHATTAN,113,CEDAR ST            ,,
2014.08.09,07:45,NY                                                                                                                           ,MANHATTAN,103,WAVERLY PL          ,,
2014.07.10,04:00,NY                                                                                                                           ,MANHATTAN,225,E 26 ST             ,,
2014.07.15,04:00,NY                                                                                                                           ,MANHATTAN,451,BROOME ST           ,,
